Suburb,Median Price
"Scarborough, Christchurch",825
"Westmorland, Christchurch",800
"Clifton, Christchurch",790
"Richmond Hill, Christchurch",760
"Mount Pleasant, Christchurch",755
"Waimairi Beach, Christchurch",725
"Moncks Bay, Christchurch",720
"Northwood, Christchurch",720
"Aidanfield, Christchurch",705
"Ilam, Christchurch",690
"Halswell, Christchurch",680
"Fendalton, Christchurch",672.5
"Cashmere, Christchurch",670
"Upper Riccarton, Christchurch",660
"Wigram, Christchurch",660
"Harewood, Christchurch",650
"Huntsbury, Christchurch",650
"Beckenham, Christchurch",642.5
"Avonhead, Christchurch",630
"Burnside, Christchurch",630
"Sockburn, Christchurch",630
"Strowan, Christchurch",630
"Belfast, Christchurch",620
"Casebrook, Christchurch",620
"Templeton, Christchurch",610
"Dallington, Christchurch",600
"Heathcote Valley, Christchurch",600
"Hillsborough, Christchurch",600
"Mairehau, Christchurch",600
"Parklands, Christchurch",600
"Russley, Christchurch",600
"Sumner, Christchurch",600
"Bryndwr, Christchurch",595
"Hillmorton, Christchurch",590
"Hoon Hay, Christchurch",590
"Wainoni, Christchurch",590
"Saint Martins, Christchurch",589.5
"Bishopdale, Christchurch",580
"Merivale, Christchurch",580
"Redwood, Christchurch",580
"Riccarton, Christchurch",580
"St Albans, Christchurch",580
"Redcliffs, Christchurch",575
"Broomfield, Christchurch",570
"Hei Hei, Christchurch",570
"Papanui, Christchurch",565
"Somerfield, Christchurch",560
"Avondale, Christchurch",550
"Bromley, Christchurch",550
"Burwood, Christchurch",550
"Hornby, Christchurch",550
"New Brighton, Christchurch",550
"Northcote, Christchurch",550
"Opawa, Christchurch",550
"Shirley, Christchurch",550
"Spreydon, Christchurch",550
"Southshore, Christchurch",545
"Islington, Christchurch",540
"Addington, Christchurch",530
"Edgeware, Christchurch",530
"Sydenham, Christchurch",530
"Cracroft, Christchurch",520
"Woolston, Christchurch",520
"Avonside, Christchurch",515
"Waltham, Christchurch",510
"Linwood, Christchurch",500
"Richmond, Christchurch",500
"Phillipstown, Christchurch",490
"Ferrymead, Christchurch",475
"Bexley, Christchurch",420
